Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,41333.847656,41333.847656,37628.261719,39009.808594,39009.808594,80213709506
2021-01-28,39020.695313,40929.136719,38501.851563,40608.722656,40608.722656,101296176586
2021-01-29,44033.328125,49034.347656,41269.437500,43844.332031,43844.332031,150628000568
2021-01-30,43818.203125,44506.566406,42086.031250,43794.734375,43794.734375,83248000113
2021-01-31,43796.468750,43818.773438,41242.898438,42390.847656,42390.847656,67532936483
2021-02-01,42391.128906,44329.984375,41421.046875,43093.593750,43093.593750,78896444828
2021-02-02,43088.484375,45982.507813,43037.964844,45408.605469,45408.605469,80674213180
2021-02-03,45409.285156,47901.066406,45314.421875,47908.066406,47908.066406,78201777016
2021-02-04,47911.921875,49334.308594,46619.609375,47359.339844,47359.339844,88287928121
2021-02-05,47366.371094,48924.761719,46981.027344,48683.769531,48683.769531,74789005140
2021-02-06,48676.214844,52132.652344,48676.214844,50115.406250,50115.406250,91033773381
2021-02-07,50095.214844,50536.265625,47761.257813,49642.269531,49642.269531,83581307123
2021-02-08,49621.070313,58859.648438,48601.000000,58850.136719,58850.136719,129260109653
2021-02-09,58835.523438,61124.003906,57497.179688,59023.472656,59023.472656,116583632350
2021-02-10,59009.070313,59886.609375,55743.765625,57035.000000,57035.000000,110850820799
2021-02-11,57010.273438,61538.183594,56164.945313,60845.808594,60845.808594,103365545777
2021-02-12,60804.792969,61926.871094,59115.988281,60319.285156,60319.285156,97205763558
2021-02-13,60301.953125,61013.429688,58911.238281,59816.941406,59816.941406,89207541748
2021-02-14,59828.359375,62841.878906,59828.359375,61818.585938,61818.585938,90409225214
2021-02-15,61792.253906,62015.523438,58749.414063,60583.375000,60583.375000,97385529641
2021-02-16,60582.617188,63618.468750,59591.550781,62545.238281,62545.238281,97949128144
2021-02-17,62554.652344,66718.648438,62404.312500,66229.132813,66229.132813,102641931022
2021-02-18,66218.929688,66615.984375,64744.515625,65537.265625,65537.265625,66012729214
2021-02-19,65532.429688,70822.718750,64735.265625,70533.617188,70533.617188,80134491885
2021-02-20,70532.609375,72546.867188,68915.226563,70772.351563,70772.351563,85968905096
2021-02-21,70733.304688,73588.101563,70233.781250,72505.562500,72505.562500,65395680020
2021-02-22,72496.484375,72516.460938,61916.449219,68363.289063,68363.289063,116091449639
2021-02-23,68360.273438,68360.273438,57144.000000,61493.781250,61493.781250,133634816482
2021-02-24,61507.207031,64520.531250,59430.226563,62195.539063,62195.539063,79701250480
2021-02-25,62200.230469,64832.519531,59404.515625,59404.515625,59404.515625,68754963834
2021-02-26,59513.769531,61433.894531,56119.035156,59028.468750,59028.468750,447069632247
2021-02-27,59034.851563,61460.671875,57659.609375,58830.691406,58830.691406,58477231516
2021-02-28,58837.781250,59503.183594,55077.281250,57312.195313,57312.195313,67858612442
2021-03-01,57339.789063,62941.781250,57279.023438,62739.597656,62739.597656,68124800841
2021-03-02,62715.410156,63379.468750,59599.261719,61132.898438,61132.898438,60061230632
2021-03-03,61179.433594,66355.609375,60996.535156,64055.453125,64055.453125,67455516449
2021-03-04,64035.253906,65472.570313,60374.179688,61573.375000,61573.375000,66369604078
2021-03-05,61530.093750,62554.800781,59059.332031,61913.101563,61913.101563,61531736668
2021-03-06,61877.574219,62191.382813,59800.148438,61894.218750,61894.218750,43483998357
2021-03-07,61902.187500,64908.730469,61902.187500,64684.292969,64684.292969,54491238686
2021-03-08,64643.144531,66221.765625,62743.527344,66138.406250,66138.406250,61519046789
2021-03-09,66171.882813,69333.046875,65842.578125,69333.046875,69333.046875,64385893801
2021-03-10,69332.914063,72341.109375,67549.132813,70691.187500,70691.187500,72315613285
2021-03-11,70633.929688,72790.132813,68631.515625,72463.921875,72463.921875,71169242207
2021-03-12,72484.101563,72659.031250,69372.546875,71526.078125,71526.078125,69477382762
2021-03-13,71540.156250,76956.789063,70137.539063,76406.875000,76406.875000,75691679676
2021-03-14,76379.484375,76849.562500,73947.617188,73947.617188,73947.617188,54743072229
2021-03-15,73904.117188,75532.453125,69073.726563,69760.445313,69760.445313,82877425555
2021-03-16,69677.578125,70708.828125,66827.304688,70684.328125,70684.328125,74348765639
2021-03-17,70710.367188,73139.734375,67991.523438,72931.796875,72931.796875,74650589489
2021-03-18,72959.281250,74799.640625,67510.171875,72297.906250,72297.906250,69657744262
2021-03-19,72287.304688,74398.554688,70790.179688,73079.593750,73079.593750,61452845363
2021-03-20,73061.570313,75189.609375,72912.562500,73038.242188,73038.242188,63078420887
2021-03-21,73033.578125,73607.203125,70178.117188,72043.421875,72043.421875,65054919294
2021-03-22,72036.500000,73010.117188,67985.226563,68277.851563,68277.851563,70772492024
2021-03-23,68255.960938,70318.273438,67118.070313,68917.976563,68917.976563,71053388158
2021-03-24,68882.148438,72027.773438,66078.156250,66392.343750,66392.343750,88776672481
2021-03-25,66332.562500,67127.578125,64011.230469,65160.429688,65160.429688,85697104132
2021-03-26,65133.773438,69541.937500,65003.769531,69541.937500,69541.937500,71452584699
2021-03-27,69542.257813,71346.664063,68413.867188,70596.593750,70596.593750,59614926392
2021-03-28,70598.398438,71385.882813,69229.898438,70416.695313,70416.695313,60015851041
2021-03-29,70413.117188,73440.742188,69597.101563,72713.562500,72713.562500,72556664754
2021-03-30,72713.484375,75013.953125,72061.382813,74365.914063,74365.914063,68681497760
2021-03-31,74381.796875,75561.992188,72744.523438,74029.625000,74029.625000,82324821486
2021-04-01,74039.343750,74954.750000,73688.156250,74156.375000,74156.375000,77385550185
2021-04-02,74160.226563,75536.781250,73795.585938,74675.773438,74675.773438,73850284730
2021-04-03,74692.242188,75588.664063,72436.890625,72436.890625,72436.890625,74998990688
2021-04-04,72438.085938,74084.039063,71889.609375,73827.421875,73827.421875,63764617037
2021-04-05,73830.335938,74959.828125,72600.281250,73942.945313,73942.945313,76006802351
2021-04-06,74085.742188,74478.250000,72337.812500,73156.523438,73156.523438,83044849885
2021-04-07,73149.171875,73900.929688,70230.664063,70708.539063,70708.539063,95430332736
2021-04-08,70772.843750,73292.414063,70487.046875,73273.843750,73273.843750,66652885189
2021-04-09,73277.117188,74058.054688,72805.539063,72978.656250,72978.656250,58457110099
2021-04-10,72989.648438,76777.210938,72720.179688,74918.531250,74918.531250,72970474029
2021-04-11,74984.929688,76168.132813,74287.742188,75463.914063,75463.914063,58009982597
2021-04-12,75427.539063,76935.648438,74704.843750,75243.421875,75243.421875,65111759443
2021-04-13,75239.109375,79895.726563,75245.156250,79598.406250,79598.406250,87720760870
2021-04-14,79623.851563,81445.671875,77085.687500,78995.984375,78995.984375,96948328929
2021-04-15,78952.796875,80052.289063,77726.054688,79437.875000,79437.875000,76477329164
2021-04-16,79368.234375,79831.468750,75262.203125,77018.320313,77018.320313,105437908391
2021-04-17,76964.703125,78268.406250,75503.000000,75906.359375,75906.359375,82729666943
2021-04-18,75928.953125,76373.718750,66081.828125,70374.906250,70374.906250,122017577989
2021-04-19,70344.109375,71803.609375,68107.265625,69788.234375,69788.234375,81836928952
2021-04-20,69735.039063,71974.484375,66704.554688,71226.609375,71226.609375,85574959838
2021-04-21,71224.210938,71556.757813,67143.500000,67403.687500,67403.687500,68679741888
2021-04-22,67342.445313,69271.929688,63263.152344,64718.730469,64718.730469,93521251652
2021-04-23,64690.644531,65129.359375,59550.523438,63743.160156,63743.160156,108125662632
2021-04-24,63805.011719,63835.371094,60888.253906,62442.210938,62442.210938,61149258326
2021-04-25,62444.660156,63010.046875,58860.460938,61204.207031,61204.207031,57598292650
2021-04-26,61296.050781,67335.632813,60979.964844,66968.875000,66968.875000,72252684229
2021-04-27,66979.476563,68736.429688,66142.187500,68279.867188,68279.867188,61350657215
2021-04-28,68284.234375,69248.132813,66871.945313,67453.250000,67453.250000,59057216931
2021-04-29,67494.320313,67812.437500,64361.214844,65747.195313,65747.195313,56581305089
2021-04-30,65763.835938,71170.984375,65230.609375,70985.937500,70985.937500,64404555636
2021-05-01,70942.289063,71844.117188,70128.085938,71081.664063,71081.664063,52654108146
2021-05-02,71078.968750,71173.289063,69009.070313,69543.929688,69543.929688,46882502767
2021-05-03,69530.656250,72541.890625,69502.984375,70239.093750,70239.093750,63501149073
2021-05-04,70256.148438,70256.148438,65438.750000,65618.921875,65618.921875,84358587217
2021-05-05,65518.800781,71020.468750,65146.375000,70452.648438,70452.648438,84951132897
2021-05-06,70473.875000,71449.945313,67467.359375,68554.359375,68554.359375,84510975862
2021-05-07,68575.562500,71208.820313,67312.859375,69605.437500,69605.437500,83048793408
2021-05-08,69601.023438,72163.875000,69142.835938,71361.914063,71361.914063,79346169978
2021-05-09,71451.242188,71855.960938,68544.296875,70558.812500,70558.812500,79857686747
2021-05-10,70581.296875,72176.148438,65386.503906,67558.851563,67558.851563,86809139049
2021-05-11,67543.664063,68826.414063,66036.875000,68598.640625,68598.640625,74168138997
2021-05-12,68610.687500,70265.671875,59573.738281,59573.738281,59573.738281,91166108967
2021-05-13,60282.675781,62232.230469,56946.828125,60508.332031,60508.332031,117716897197
2021-05-14,60467.914063,62257.457031,59485.617188,60396.847656,60396.847656,67488634041
2021-05-15,60366.527344,61316.027344,56502.343750,56618.636719,56618.636719,71633971113
2021-05-16,56565.906250,60202.523438,53249.289063,56274.546875,56274.546875,77584389208
2021-05-17,56225.898438,56482.109375,50946.054688,52521.476563,52521.476563,90360004244
2021-05-18,52461.820313,55130.070313,51116.578125,51803.832031,51803.832031,67834106868
2021-05-19,51846.781250,52562.558594,37107.183594,44890.250000,44890.250000,153293854657
2021-05-20,44588.449219,51355.625000,42472.234375,49185.734375,49185.734375,106471819814
2021-05-21,48961.664063,50866.050781,40567.328125,45018.179688,45018.179688,99017429680
2021-05-22,45098.238281,46860.152344,42699.968750,45298.082031,45298.082031,69241172028
2021-05-23,45291.824219,46206.281250,37684.214844,41969.449219,41969.449219,94715474455
2021-05-24,41884.691406,47976.804688,41701.253906,46641.867188,46641.867188,81170319626
2021-05-25,46750.078125,47933.484375,44018.066406,46337.929688,46337.929688,67827939568
2021-05-26,46326.343750,49231.511719,45707.917969,47666.296875,47666.296875,62286773247
2021-05-27,47693.824219,48785.320313,45166.660156,46397.839844,46397.839844,52160608507
2021-05-28,46482.476563,46916.253906,42005.601563,43110.214844,43110.214844,66662511811
2021-05-29,43093.972656,44971.269531,40695.023438,41808.769531,41808.769531,54629339440
2021-05-30,41798.304688,43964.183594,40485.843750,43094.718750,43094.718750,38224509993
2021-05-31,43071.121094,45177.902344,41356.906250,45027.714844,45027.714844,47050362385
2021-06-01,44980.601563,45686.222656,43153.859375,44283.179688,44283.179688,41814009930
2021-06-02,44301.285156,46057.140625,43384.359375,45242.921875,45242.921875,39819440632
2021-06-03,45272.097656,47584.808594,44855.339844,47481.226563,47481.226563,42942436856
2021-06-04,47522.062500,47522.062500,43285.984375,44581.355469,44581.355469,50546597827
2021-06-05,44564.136719,45817.871094,42171.914063,42959.210938,42959.210938,43451629682
2021-06-06,42943.078125,44027.949219,42643.273438,43305.792969,43305.792969,34914569746
2021-06-07,43273.054688,44470.605469,40468.789063,40562.109375,40562.109375,40711045846
2021-06-08,40596.933594,41086.066406,37632.761719,40547.441406,40547.441406,60449397725
2021-06-09,40480.023438,45478.402344,39317.718750,45243.800781,45243.800781,65388461242
2021-06-10,45297.585938,46418.726563,43360.496094,44397.484375,44397.484375,52711966022
2021-06-11,44390.746094,45490.046875,43597.492188,45383.324219,45383.324219,47043013282
2021-06-12,45390.304688,45473.914063,42215.242188,43217.285156,43217.285156,46100312983
2021-06-13,43221.261719,47823.972656,42380.464844,47541.511719,47541.511719,49452095785
2021-06-14,47443.152344,49712.902344,47115.292969,48838.464844,48838.464844,52396978406
2021-06-15,49091.886719,50341.617188,48205.359375,49245.140625,49245.140625,56574556820
2021-06-16,48955.589844,49326.949219,46860.128906,47084.941406,47084.941406,48146515908
2021-06-17,47078.015625,48683.687500,46277.308594,46979.714844,46979.714844,45798435940
2021-06-18,47036.472656,47151.679688,43808.503906,44603.789063,44603.789063,45119337864
2021-06-19,44687.652344,45439.539063,43539.171875,44390.195313,44390.195313,38895505150
2021-06-20,44324.472656,44957.339844,41668.402344,44447.054688,44447.054688,45649472200
2021-06-21,44375.898438,44471.476563,38711.070313,39183.910156,39183.910156,65324516695
2021-06-22,39116.722656,41028.023438,35776.574219,40018.953125,40018.953125,72593255695
2021-06-23,40031.332031,42663.597656,39115.765625,41497.132813,41497.132813,56994499411
2021-06-24,41447.628906,43395.113281,39851.367188,42714.136719,42714.136719,40817562173
2021-06-25,42710.035156,43729.160156,38532.746094,38885.363281,38885.363281,49446999766
2021-06-26,38832.367188,40114.207031,37120.476563,39559.511719,39559.511719,47424525637
2021-06-27,39683.949219,42601.460938,39418.753906,42588.746094,42588.746094,43648245614
2021-06-28,42624.976563,43290.812500,41816.785156,42473.031250,42473.031250,41804733422
2021-06-29,42523.878906,45298.843750,42290.617188,44467.078125,44467.078125,46988335090
2021-06-30,44517.425781,44716.648438,42284.179688,43429.964844,43429.964844,42213109932
2021-07-01,43423.949219,43423.949219,40918.175781,41767.710938,41767.710938,47076165442
2021-07-02,41739.695313,42217.625000,40749.851563,41748.453125,41748.453125,47699573763
2021-07-03,41695.953125,42995.117188,41139.597656,42698.652344,42698.652344,30031893064
2021-07-04,42694.976563,44283.781250,42363.562500,43513.714844,43513.714844,30734413328
2021-07-05,43509.476563,43509.476563,40958.753906,41646.582031,41646.582031,32977577849
2021-07-06,41618.824219,43246.312500,41919.691406,42652.531250,42652.531250,33017071631
2021-07-07,42640.679688,43530.480469,42240.398438,42260.417969,42260.417969,30952013238
2021-07-08,42303.210938,42355.316406,40364.613281,41199.031250,41199.031250,37481077338
2021-07-09,41179.355469,42362.566406,40515.531250,42067.437500,42067.437500,34148847165
2021-07-10,42083.906250,42570.109375,41209.898438,41713.269531,41713.269531,28586429062
2021-07-11,41699.031250,43046.890625,41497.015625,42627.765625,42627.765625,25034624043
2021-07-12,42644.984375,43145.066406,40728.488281,41301.609375,41301.609375,30296829865
2021-07-13,41263.765625,41591.390625,40389.878906,40950.132813,40950.132813,23943519138
2021-07-14,40977.453125,41310.050781,39603.101563,41080.945313,41080.945313,26755187110
2021-07-15,41087.859375,41548.464844,39308.640625,40016.707031,40016.707031,26820555093
2021-07-16,40093.289063,40536.972656,39159.011719,39641.570313,39641.570313,29899378577
2021-07-17,39611.000000,40290.546875,39392.343750,39782.277344,39782.277344,23838050372
2021-07-18,39783.304688,40874.734375,39381.308594,40120.738281,40120.738281,23706399756
2021-07-19,40124.777344,40322.222656,39042.910156,39292.890625,39292.890625,26054458843
2021-07-20,39318.968750,39514.531250,37394.261719,37782.691406,37782.691406,29341887073
2021-07-21,37768.667969,41131.191406,37450.597656,40368.601563,40368.601563,35455996385
2021-07-22,40404.027344,40989.093750,39864.636719,40599.640625,40599.640625,24570071608
2021-07-23,40590.660156,42184.976563,40306.644531,42184.976563,42184.976563,28329767667
2021-07-24,42200.273438,43326.656250,41988.140625,43078.000000,43078.000000,27215096441
2021-07-25,43075.292969,44447.839844,42562.195313,44429.316406,44429.316406,26213391196
2021-07-26,44471.851563,50819.722656,44361.019531,46833.140625,46833.140625,63997971306
2021-07-27,46756.003906,49619.839844,45714.324219,49619.839844,49619.839844,44193380601
2021-07-28,49741.027344,51287.433594,48831.234375,50075.875000,50075.875000,48456378239
2021-07-29,50075.304688,50599.265625,49295.734375,49807.882813,49807.882813,33821330939
2021-07-30,49831.613281,52664.984375,47751.718750,52664.984375,52664.984375,41239610620
2021-07-31,52616.046875,52659.871094,51294.398438,51937.421875,51937.421875,32194468163
2021-08-01,51731.109375,53079.679688,49310.714844,49842.898438,49842.898438,33276612506
2021-08-02,49758.570313,50401.871094,48454.320313,49008.234375,49008.234375,31997869895
2021-08-03,48978.804688,49665.753906,47406.312500,47815.226563,47815.226563,32822405011
2021-08-04,47890.859375,50126.152344,47130.234375,49861.855469,49861.855469,31828991897
2021-08-05,49858.101563,51667.082031,46832.917969,51094.585938,51094.585938,43987868371
2021-08-06,51089.976563,54325.664063,49952.203125,53738.988281,53738.988281,47978058871
2021-08-07,53759.441406,56104.546875,53504.199219,55936.242188,55936.242188,50255544949
2021-08-08,55959.640625,56848.371094,54385.445313,55066.585938,55066.585938,45642686942
2021-08-09,55058.800781,58388.574219,53877.210938,58308.617188,58308.617188,48711551737
2021-08-10,58202.285156,58675.066406,56030.011719,57070.863281,57070.863281,41998442325
2021-08-11,57089.234375,58466.507813,56798.437500,57027.972656,57027.972656,42926680272
2021-08-12,57007.015625,57810.777344,54912.601563,55625.550781,55625.550781,42222984983
2021-08-13,55639.828125,59865.304688,55452.125000,59816.925781,59816.925781,39730321632
2021-08-14,59838.664063,60182.035156,57778.378906,58928.640625,58928.640625,39052270904
2021-08-15,58928.292969,59254.160156,57030.093750,58896.968750,58896.968750,38794302355
2021-08-16,58863.113281,60140.656250,57451.519531,57838.539063,57838.539063,41208302018
2021-08-17,57753.011719,59449.078125,56214.644531,56438.257813,56438.257813,42240105998
2021-08-18,56427.390625,58085.246094,56030.480469,56733.089844,56733.089844,40768383874
2021-08-19,56657.988281,60256.441406,55829.992188,59946.082031,59946.082031,47739048165
2021-08-20,59953.195313,63261.574219,59821.695313,63257.757813,63257.757813,44497674760
2021-08-21,63242.242188,63742.191406,61948.074219,62701.730469,62701.730469,52034291731
2021-08-22,62655.078125,63429.285156,61797.144531,63260.445313,63260.445313,32541066729
2021-08-23,63222.000000,64201.843750,62110.292969,62695.843750,62695.843750,43409717891
2021-08-24,62716.343750,62975.937500,60075.992188,60098.500000,60098.500000,44546762856
2021-08-25,60125.128906,61949.128906,59433.277344,61639.230469,61639.230469,41100154892
2021-08-26,61691.925781,62158.957031,58513.515625,59549.910156,59549.910156,41440098785
2021-08-27,59489.449219,61990.648438,58907.054688,61922.343750,61922.343750,43560226494
